0;0;Pengembaraan Angkatan;Meningkatkan jiwa korsa kepada anggota muda;Desember - Januari
0;1;Pendidikan dasar;Meningkatkan kemampuan dan keterampilan dalam berorganisasi;Februari (Minggu 1 - 2)
0;2;Pengalaman Lapangan;Menambah wawasan dan pengetahuan anggota muda argajaladri dibidang kegiatan;Maret (Minggu 2 - 3)
0;3;Pengabdian Masyarakat;-;-
0;4;Pelantikan;-;-
0;5;Pradiksar;-;-
1;0;Pelatihan dasar rescue;-;-
2;0;Pembuatan Kalender Argajaladri;-;-
2;1;Pembuatan PDL dan topi lapangan;-;-
2;2;Pembuatan Daypack/Cover bag Argajaladri;-;-
2;3;Pembuatan baju divisi;-;-
3;0;Ruang hijau argajaladri;-;-
3;1;Seminar nasional;-;-
4;0;Pembuatan buku materi tingkat lanjut;-;-
4;1;Aplikasi lapangan diving;-;-
5;0;Inventaris alat;-;-
5;1;Musyawarah Kerja;-;-
5;2;Pembelian ATK;-;-
5;3;Ulang Tahun;-;-
5;4;Musyawarah Besar;-;-
5;5;pembuatan KTA;-;-
5;6;Pengelolaan website;-;-
